English,POS,Thai
layer,"Noun, Verb (usu participle)",ชั้น
lazy,Adjective,ขี้เกียจ
lead 1,"Verb (usu participle), Verb (intransitive)",ตะกั่ว 1
leader,Noun,ผู้นำ
leading 1,"Adjective, Noun",นำ 1
leaf,"Noun, Verb (usu participle)",ใบไม้
league,"Noun, Verb (usu participle)",ลีก
lean,"Verb (usu participle), Verb (intransitive)",เอียง
learn,"Verb (usu participle), Verb (transitive)",เรียนรู้
least,"Definite Article, Adverb",น้อยที่สุด
leather,"Noun, Verb (transitive)",หนัง
leave,"Verb (usu participle), Verb (transitive)",ออกจาก
leave out,"Verb (usu participle), Verb (transitive)",ออกไป
lecture,"Noun, Verb (usu participle)",การบรรยาย
left,"Adjective, Adverb",ซ้าย
leg,"Noun, Verb (usu participle)",ขา
legal,Adjective,ถูกกฎหมาย
legally,Adverb,ถูกต้องตามกฎหมาย
lemon,Noun,มะนาว
lend,"Verb (usu participle), Verb (intransitive)",ให้ยืม
length,Noun,ความยาว
less,"Definite Article, Adverb",น้อย
lesson,"Noun, Verb (transitive)",บทเรียน
let,"Verb (usu participle), Noun",อนุญาต
let down,"Verb (usu participle), Noun",ปล่อยให้ลง
let off,"Verb (usu participle), Noun",ปล่อยออกไป
letter,"Noun, Verb (usu participle)",จดหมาย
level,"Adjective, Verb (usu participle)",ระดับ
library,Noun,ห้องสมุด
licence,"Noun, Verb (usu participle)",ใบอนุญาต
license,"Verb (transitive), Noun",ใบอนุญาต
lid,Noun,ฝา
lie 1,"Verb (usu participle), Verb (intransitive)",โกหก 1
lie 2,"Verb (usu participle), Verb (intransitive)",โกหก 2
lie around,"Verb (usu participle), Verb (intransitive)",โกหก
lie down,"Verb (usu participle), Verb (intransitive)",นอนราบ
life,Noun,ชีวิต
lift,"Verb (usu participle), Noun",ยก
light,"Noun, Adjective",แสงสว่าง
lightly,Adverb,เบา ๆ
like,"Adjective, Preposition",ชอบ
likely,"Adjective, Adverb",มีแนวโน้ม
limit,"Noun, Verb (transitive)",ขีด จำกัด
limited,"Adjective, Noun",จำกัด
limit to,"Noun, Verb (transitive)",จำกัด
line,"Noun, Verb (transitive)",เส้น
link,"Noun, Verb (usu participle)",ลิงค์
lip,"Noun, Verb (usu participle)",ริมฝีปาก
liquid,"Noun, Adjective",ของเหลว
list,"Noun, Verb (transitive)",รายการ
listen,"Verb (intransitive), Verb (usu participle)",ฟัง
literature,Noun,วรรณกรรม
litre,Noun,ลิตร
little,"Definite Article, Adjective",เล็กน้อย
live 1,"Verb (usu participle), Verb (transitive)",อยู่ 1
live 2,"Verb (usu participle), Verb (transitive)",อยู่ 2
lively,"Adjective, Adverb",มีชีวิตชีวา
live on,"Verb (usu participle), Verb (transitive)",มีชีวิตอยู่ต่อไป
live through,"Verb (usu participle), Verb (transitive)",มีชีวิตอยู่ผ่าน
live together,"Verb (usu participle), Verb (transitive)",อยู่ด้วยกัน
living,"Adjective, Noun",การดำรงชีวิต
load,"Noun, Verb (usu participle)",โหลด
loan,"Noun, Verb (usu participle)",เงินกู้
local,"Adjective, Noun",ท้องถิ่น
locally,Adverb,ในท้องถิ่น
locate,"Verb (transitive), Verb (intransitive)",ค้นหา
located,"Verb (usu participle), Adjective",ตั้งอยู่
location,Noun,ที่ตั้ง
lock,"Noun, Verb (usu participle)",ล็อค
lock up,"Noun, Verb (usu participle)",ล็อคขึ้น
logic,Noun,ตรรกะ
logical,Adjective,ตรรกะ
lonely,Adjective,เหงา
long,"Adjective, Noun",ยาว
look,"Verb (usu participle), Verb (transitive)",ดู
look after,"Verb (usu participle), Verb (transitive)",ดูแล
look at,"Verb (usu participle), Verb (transitive)",ดูสิ
look down on,"Verb (usu participle), Verb (transitive)",มองลงมา
look forward to,"Verb (usu participle), Verb (transitive)",หวังว่าจะได้
look into,"Verb (usu participle), Verb (transitive)",มองเข้าไป
look on,"Verb (usu participle), Verb (transitive)",ดูสิ
look on with,"Verb (usu participle), Verb (transitive)",ดูต่อด้วย
look out,"Verb (usu participle), Verb (transitive)",ระวัง
look out for,"Verb (usu participle), Verb (transitive)",ระวัง
look round,"Verb (usu participle), Verb (transitive)",มองไปรอบ ๆ
look through,"Verb (usu participle), Verb (transitive)",มองผ่าน
look up,"Verb (usu participle), Verb (transitive)",มองขึ้นไป
look up to,"Verb (usu participle), Verb (transitive)",มองขึ้นไป
loose,"Adjective, Noun",หลวม
loosely,Adverb,อย่างหลวมๆ
lord,"Noun, Verb (transitive)",ท่านลอร์ด
lorry,Noun,รถบรรทุก
lose,"Verb (usu participle), Verb (intransitive)",สูญเสีย
loss,Noun,การสูญเสีย
lost,"Adjective, Noun",สูญหาย
lot,"Pronoun, Noun",มาก
loud,"Adjective, Adverb",ดัง
loudly,Adverb,เสียงดัง
love,"Verb (transitive), Verb (intransitive)",รัก
lovely,"Adjective, Noun",น่ารัก
lover,Noun,คนรัก
low,"Adjective, Adverb",ต่ำ
loyal,Adjective,ซื่อสัตย์
luck,"Noun, Verb (intransitive)",โชค
lucky,Adjective,โชคดี
luggage,Noun,กระเป๋าเดินทาง
lump,"Noun, Verb (transitive)",ก้อน
lunch,"Noun, Verb (intransitive)",อาหารกลางวัน
lung,Noun,ปอด
machine,"Noun, Verb (transitive)",เครื่องจักร
machinery,Noun,เครื่องจักร
mad,"Adjective, Verb (usu participle)",โกรธ
magazine,Noun,นิตยสาร
magic,"Noun, Adjective",มายากล
mail,"Noun, Verb (transitive)",จดหมาย
main,"Adjective, Noun",หลัก
mainly,Adverb,ส่วนใหญ่
maintain,"Verb (transitive), Verb (usu participle)",บำรุงรักษา
major,"Noun, Adjective",วิชาเอก
majority,Noun,ส่วนใหญ่
make,"Verb (usu participle), Verb (intransitive)",ทำ
make into,"Verb (usu participle), Verb (intransitive)",ทำให้เป็น
make up,"Verb (usu participle), Verb (intransitive)",แต่งหน้า
make-up,"Verb (usu participle), Verb (intransitive)",แต่งหน้า
make up for,"Verb (usu participle), Verb (intransitive)",แต่งหน้าเพื่อ
male,"Adjective, Noun",ชาย
mall,Noun,ห้างสรรพสินค้า
man,"Noun, Interjection",ผู้ชาย
manage,"Verb (usu participle), Verb (intransitive)",จัดการ
management,Noun,การจัดการ
manager,Noun,ผู้จัดการ
manner,Noun,มารยาท
manufacture,"Verb (usu participle), Verb (transitive)",ผลิต
manufacturer,Noun,ผู้ผลิต
manufacturing,"Verb (usu participle), Noun",การผลิต
many,"Definite Article, Noun",มากมาย
map,"Noun, Verb (usu participle)",แผนที่
march,"Verb (intransitive), Verb (transitive)",มีนาคม
March,Noun,มีนาคม
mark,"Noun, Verb (usu participle)",เครื่องหมาย
market,"Noun, Verb (usu participle)",ตลาด
marketing,Noun,การตลาด
marriage,Noun,การแต่งงาน
married,"Adjective, Noun",แต่งงานแล้ว
marry,"Verb (usu participle), Verb (transitive)",แต่งงาน
mass,"Noun, Verb (usu participle)",มวล
massive,Adjective,มโหฬาร
master,"Noun, Verb (transitive)",ผู้เชี่ยวชาญ
match,"Noun, Verb (usu participle)",จับคู่
matching,Adjective,การจับคู่
match up,"Noun, Verb (usu participle)",จับคู่
mate,"Noun, Verb (usu participle)",เพื่อน
material,"Noun, Adjective",วัสดุ
mathematics,Noun,คณิตศาสตร์
matter,"Noun, Verb (intransitive)",วัตถุ
maximum,"Noun, Adjective",สูงสุด
may,"Verb (usu participle), Noun",อาจ
May,Noun,อาจ
maybe,Adverb,อาจจะ
mayor,Noun,นายกเทศมนตรี
me,"Pronoun, Noun",ฉัน
meal,Noun,มื้อ
mean,"Verb (usu participle), Verb (intransitive)",หมายถึง
meaning,"Noun, Adjective",ความหมาย
means,Noun,วิธี
meanwhile,"Adverb, Noun",ในขณะเดียวกัน
measure,"Noun, Verb (intransitive)",วัด
measurement,Noun,การวัด
meat,Noun,เนื้อ
media,Noun,สื่อ
medical,"Adjective, Noun",ทางการแพทย์
medicine,"Noun, Verb (usu participle)",ยา
medium,"Adjective, Noun",ปานกลาง
meet,"Verb (usu participle), Verb (transitive)",พบปะ
meeting,Noun,การประชุม
meet up,"Verb (usu participle), Verb (transitive)",พบกัน
meet with,"Verb (usu participle), Verb (transitive)",พบกับ
melt,"Verb (usu participle), Noun",ละลาย
member,Noun,สมาชิก
membership,Noun,สมาชิกภาพ
memory,Noun,หน่วยความจำ
mental,Adjective,จิต
mentally,Adverb,จิตใจ
mention,"Verb (transitive), Noun",กล่าวถึง
menu,Noun,เมนู
mere,"Adjective, Noun",เพียง
merely,Adverb,เพียง
mess,"Noun, Verb (transitive)",ความยุ่งเหยิง
message,"Noun, Verb (transitive)",ข้อความ
metal,"Noun, Adjective",โลหะ
method,Noun,วิธี
metre,Noun,เมตร
mid-,"Adjective, Noun",กลาง-
midday,Noun,เที่ยงวัน
middle,"Adjective, Noun",กลาง
midnight,"Noun, Adverb",เที่ยงคืน
might,"Verb (usu participle), Noun",อาจ
mild,"Adjective, Noun",อ่อน
mile,"Noun, Adverb",ไมล์
military,"Adjective, Noun",ทหาร
milk,"Noun, Verb (usu participle)",น้ำนม
milligram,Noun,มิลลิกรัม
millimetre,Noun,มิลลิเมตร
million,"Noun, Definite Article",ล้าน
millionth,"Noun, Adjective",ล้าน
mind,"Noun, Verb (usu participle)",จิตใจ
mine,"Pronoun, Definite Article",ของฉัน
mineral,"Noun, Adjective",แร่
minimum,"Noun, Adjective",ขั้นต่ำ
minister,"Noun, Verb (intransitive)",รัฐมนตรี
ministry,Noun,กระทรวง
minor,"Adjective, Noun",ส่วนน้อย
minority,Noun,ชนกลุ่มน้อย
minute 1,"Noun, Verb (transitive)",นาทีที่ 1
mirror,"Noun, Verb (transitive)",กระจกเงา
miss,"Verb (usu participle), Verb (transitive)",นางสาว
missing,Adjective,หายไป
miss out,"Verb (usu participle), Verb (transitive)",พลาด
mistake,"Noun, Verb (usu participle)",ความผิดพลาด
mistake for,"Noun, Verb (usu participle)",ผิดพลาดสำหรับ
mistaken,Adjective,ผิด
mix,"Verb (transitive), Noun",ผสม
mixed,Adjective,ผสม
mixture,Noun,ส่วนผสม
mix up,"Verb (transitive), Noun",ผสมขึ้น
mobile,"Adjective, Noun",มือถือ
mobile phone,"Adjective, Noun",โทรศัพท์มือถือ
model,"Noun, Verb (usu participle)",แบบอย่าง
modern,"Adjective, Noun",ทันสมัย
mom,Noun,แม่
moment,Noun,ช่วงเวลา
Monday,Noun,วันจันทร์
money,Noun,เงิน
monitor,"Noun, Verb (usu participle)",เฝ้าสังเกต
month,Noun,เดือน
mood,Noun,อารมณ์
moon,"Noun, Verb (usu participle)",ดวงจันทร์
moral,"Adjective, Noun",ศีลธรรม
morally,Adverb,ศีลธรรม
more,"Definite Article, Adverb",มากกว่า
moreover,"Conjunction, Adverb",นอกจากนี้
morning,"Noun, Adjective",เช้า
most,"Definite Article, Adverb",ที่สุด
mostly,Adverb,ส่วนใหญ่
mother,"Noun, Verb (transitive)",แม่
motion,"Noun, Verb (usu participle)",การเคลื่อนไหว
motor,"Noun, Adjective",มอเตอร์
motorbike,Noun,รถมอเตอร์ไซค์
motorcycle,"Noun, Verb (intransitive)",รถจักรยานยนต์
mount,"Verb (usu participle), Verb (intransitive)",เมานต์
mountain,"Noun, Adjective",ภูเขา
mouse,"Noun, Verb (usu participle)",หนู
mouth,"Noun, Verb (usu participle)",ปาก
move,"Verb (usu participle), Noun",เคลื่อนไหว
move in,"Verb (usu participle), Noun",ย้ายเข้า
movement,Noun,ความเคลื่อนไหว
move out,"Verb (usu participle), Noun",ย้ายออก
move over,"Verb (usu participle), Noun",ย้ายไป
movie,Noun,ภาพยนตร์
movie theater,Noun,โรงภาพยนตร์
moving,"Adjective, Noun",การย้าย
Mr,Noun,นาย
Mrs,Noun,นาง
Ms,Noun,นางสาว
much,"Definite Article, Adverb",มาก
mud,"Noun, Verb (usu participle)",โคลน
multiply,"Verb (usu participle), Verb (transitive)",คูณ
mum,"Noun, Adjective",แม่
murder,"Noun, Verb (usu participle)",ฆาตกรรม
muscle,"Noun, Verb (intransitive)",กล้ามเนื้อ
museum,Noun,พิพิธภัณฑ์
music,Noun,ดนตรี
musical,"Adjective, Noun",ดนตรี
musician,Noun,นักดนตรี
must,"Verb (usu participle), Noun",ต้อง
my,"Definite Article, Interjection",ของฉัน
myself,Pronoun,ตัวฉันเอง
mysterious,Adjective,ลึกลับ
mystery,Noun,ความลึกลับ
nail,"Noun, Verb (transitive)",เล็บ
naked,Adjective,เปลือยเปล่า
name,"Noun, Verb (transitive)",ชื่อ
narrow,"Adjective, Verb (usu participle)",แคบ
nation,Noun,ชาติ
national,"Adjective, Noun",ระดับชาติ
natural,"Adjective, Noun",เป็นธรรมชาติ
naturally,Adverb,ตามธรรมชาติ
nature,Noun,ธรรมชาติ
navy,Noun,กองทัพเรือ
near,"Preposition, Adverb",ใกล้
nearby,"Adjective, Adverb",ใกล้เคียง
nearly,Adverb,เกือบ
neat,"Adjective, Noun",ประณีต
neatly,Adverb,เรียบร้อย
necessarily,Adverb,จำเป็น
necessary,"Adjective, Noun",จำเป็น
neck,"Noun, Verb (intransitive)",คอ
need,"Verb (usu participle), Verb (transitive)",ความต้องการ
needle,"Noun, Verb (transitive)",เข็ม
negative,"Adjective, Noun",เชิงลบ
neighbour,"Noun, Verb (usu participle)",เพื่อนบ้าน
neighbourhood,Noun,ละแวกบ้าน
neither,"Definite Article, Conjunction",ไม่ใช่ทั้งสองอย่าง
nephew,Noun,หลานชาย
nerve,"Noun, Verb (transitive)",เส้นประสาท
nervous,Adjective,ประหม่า
nervously,Adverb,อย่างประหม่า
nest,"Noun, Verb (intransitive)",รัง
net,"Noun, Verb (usu participle)",สุทธิ
network,"Noun, Verb (usu participle)",เครือข่าย
never,"Adverb, Interjection",ไม่เคย
nevertheless,"Conjunction, Adverb",แต่ถึงอย่างไร
new,"Adjective, Adverb",ใหม่
newly,Adverb,ใหม่
news,Noun,ข่าว
newspaper,Noun,หนังสือพิมพ์
next,"Adjective, Adverb",ต่อไป
next to,"Adjective, Adverb",ถัดจาก
nice,"Adjective, Noun",ดี
nicely,Adverb,อย่างดี
niece,Noun,หลานสาว
night,Noun,กลางคืน
nine,"Noun, Definite Article",เก้า
nineteen,"Noun, Definite Article",สิบเก้า
nineteenth,"Adjective, Noun",ที่สิบเก้า
ninetieth,"Adjective, Noun",เก้าสิบ
ninety,"Noun, Definite Article",เก้าสิบ
ninth,"Adjective, Noun",เก้า
no,"Adverb, Noun",เลขที่
nobody,"Pronoun, Noun",ไม่มีใคร
noise,"Noun, Verb (transitive)",เสียงรบกวน
noisily,Adverb,มีเสียงดัง
noisy,Adjective,เสียงดัง
non-,"Verb (usu participle), Adjective",ไม่ใช่-
none,"Pronoun, Noun",ไม่มี
nonsense,"Noun, Interjection",เรื่องไร้สาระ
no one,"Adverb, Noun",ไม่มีใคร
nor,Conjunction,ก็ไม่เช่นกัน
normal,"Adjective, Noun",ปกติ
normally,Adverb,โดยทั่วไป
north,"Noun, Adjective",ทิศเหนือ
northern,"Adjective, Noun",ภาคเหนือ
nose,"Noun, Verb (transitive)",จมูก
not,Adverb,ไม่
note,"Noun, Verb (transitive)",บันทึก
note down,"Noun, Verb (transitive)",จดบันทึก
nothing,"Pronoun, Adverb",ไม่มีอะไร
notice,"Noun, Verb (usu participle)",สังเกต
noticeable,Adjective,เห็นได้ชัดเจน
novel,"Noun, Adjective",นิยาย
November,Noun,พฤศจิกายน
now,"Adverb, Conjunction",ตอนนี้
nowhere,"Adverb, Noun",ไม่มีที่ไหนเลย
nuclear,Adjective,นิวเคลียร์
number,"Noun, Verb (usu participle)",ตัวเลข
nurse,"Noun, Verb (usu participle)",พยาบาล
nut,"Noun, Verb (usu participle)",ถั่ว
obey,Verb (usu participle),เชื่อฟัง
object,"Noun, Verb (transitive)",วัตถุ
objective,"Adjective, Noun",วัตถุประสงค์
observation,Noun,การสังเกต
observe,"Verb (transitive), Verb (usu participle)",สังเกต
obtain,"Verb (transitive), Verb (intransitive)",รับ
obvious,Adjective,ชัดเจน
obviously,"Verb (usu participle), Adverb",อย่างชัดเจน
occasion,"Noun, Verb (transitive)",โอกาส
occasionally,Adverb,เป็นครั้งคราว
occupied,"Verb (usu participle), Adjective",ไม่ว่าง
occupy,Verb (usu participle),ครอบครอง
occur,Verb (usu participle),เกิดขึ้น
occur to,Verb (usu participle),เกิดขึ้นเพื่อ
ocean,Noun,มหาสมุทร
o’clock,Noun,โมง
October,Noun,ตุลาคม
odd,"Adjective, Noun",แปลก
oddly,Adverb,แปลก
of,Preposition,ของ
off,"Preposition, Adverb",ปิด
offence,Noun,ความผิด
offend,"Verb (usu participle), Verb (transitive)",รุกราน
offense,Noun,ความผิด
offensive,"Adjective, Noun",ก้าวร้าว
offer,"Verb (usu participle), Verb (intransitive)",เสนอ
office,Noun,สำนักงาน
officer,"Noun, Verb (transitive)",เจ้าหน้าที่
official,"Adjective, Noun",เป็นทางการ
officially,Adverb,อย่างเป็นทางการ
often,"Adverb, Adjective",บ่อยครั้ง
oh,Interjection,โอ้
oil,"Noun, Verb (transitive)",น้ำมัน
OK,"Adjective, Adverb, Interjection, Verb, Noun ",ตกลง
old,"Adjective, Noun",เก่า
old-fashioned,"Adjective, Noun",ล้าสมัย
on,"Preposition, Adverb",บน
once,"Adverb, Conjunction",ครั้งหนึ่ง
one,"Definite Article, Pronoun",หนึ่ง
one another,"Definite Article, Pronoun",กันและกัน
onion,Noun,หัวหอม
online,"Adjective, Adverb",ออนไลน์
only,"Adjective, Adverb",เท่านั้น
onto,Preposition,เข้าสู่
open,"Adjective, Verb (usu participle)",เปิด
opening,"Noun, Adjective",เปิด
openly,"|, Adverb",อย่างเปิดเผย
open up,"Adjective, Verb (usu participle)",เปิดขึ้น
operate,"Verb (usu participle), Verb (transitive)",ดำเนินงาน
operation,Noun,การดำเนินการ
opinion,Noun,ความคิดเห็น
opponent,"Noun, Adjective",คู่ต่อสู้
opportunity,Noun,โอกาส
oppose,"Verb (transitive), Verb (intransitive)",ต่อต้าน
opposed,"|, Adjective",ต่อต้าน
opposing,"|, Adjective",ฝ่ายตรงข้าม
opposite,"Adjective, Noun",ตรงข้าม
opposition,Noun,ฝ่ายค้าน
option,Noun,ตัวเลือก
or,"Noun, Adjective",หรือ
orange,"Noun, Adjective",ส้ม
order,"Noun, Verb (transitive)",คำสั่ง
ordinary,"Adjective, Noun",สามัญ
organ,Noun,อวัยวะ
organization,Noun,องค์กร
organize,"Verb (usu participle), Verb (transitive)",จัดระเบียบ
organized,"Verb (usu participle), Adjective",เป็นระเบียบ
origin,Noun,ต้นทาง
original,"Adjective, Noun",ต้นฉบับ
originally,Adverb,เดิมที
other,"Definite Article, Pronoun",อื่น
otherwise,"Conjunction, Adverb",มิฉะนั้น
ought to,"Verb (usu participle), Noun",ควรจะ
our,Definite Article,ของเรา
ours,Pronoun,ของเรา
ourselves,Pronoun,ตัวเราเอง
out,"Adverb, Preposition",ออก
outdoor,Adjective,กลางแจ้ง
outdoors,"Adverb, Noun",กลางแจ้ง
outer,"Adjective, Noun",ด้านนอก
outline,"Noun, Verb (transitive)",โครงร่าง
output,"Noun, Verb (usu participle)",เอาท์พุท
outside,"Preposition, Adjective",ข้างนอก
outstanding,Adjective,โดดเด่น
oven,Noun,เตาอบ
over,"Preposition, Adverb",เกิน
overall,"Adjective, Adverb",โดยรวม
overcome,"Verb (usu participle), Verb (transitive)",เอาชนะ
owe,"Verb (usu participle), Verb (intransitive)",เป็นหนี้
own,"Definite Article, Verb (transitive)",เป็นเจ้าของ
owner,Noun,เจ้าของ
own up,"Definite Article, Verb (transitive)",เป็นเจ้าของ
pace 1,"Noun, Verb (transitive)",ก้าว 1
pack,"Noun, Verb (transitive)",หีบห่อ
package,"Noun, Verb (transitive)",บรรจุุภัณฑ์
packaging,Noun,บรรจุภัณฑ์
packet,"Noun, Verb (transitive)",แพ็กเก็ต
pack up,"Noun, Verb (transitive)",แพ็คขึ้น
page,"Noun, Verb (transitive)",หน้าหนังสือ
pain,"Noun, Verb (transitive)",ความเจ็บปวด
painful,Adjective,เจ็บปวด
paint,"Noun, Verb (usu participle)",สี
painter,Noun,จิตรกร
painting,Noun,จิตรกรรม
pair,"Noun, Verb (usu participle)",คู่
palace,Noun,พระราชวัง
pale,"Adjective, Verb (usu participle)",ซีด
pan 1,"Adjective, Noun",กระทะ 1
panel,"Noun, Verb (usu participle)",แผงหน้าปัด
pants,"Plural, Noun",กางเกง
paper,"Noun, Adjective",กระดาษ
parallel,"Adjective, Noun",ขนาน
parent,"Noun, Verb (usu participle)",พ่อแม่
park,"Noun, Verb (usu participle)",สวน
parliament,Noun,รัฐสภา
part,"Noun, Adverb",ส่วนหนึ่ง
particular,"Adjective, Noun",โดยเฉพาะ
particularly,Adverb,โดยเฉพาะ
partly,Adverb,บางส่วน
partner,"Noun, Verb (usu participle)",พันธมิตร
partnership,Noun,ห้างหุ้นส่วน
party,"Noun, Adjective",งานสังสรรค์
pass,"Adjective, Verb (usu participle)",ผ่าน
passage,"Noun, Verb (usu participle)",ทางเดิน
pass away,"Adjective, Verb (usu participle)",ผ่านไป
pass by,"Adjective, Verb (usu participle)",ผ่านไป
passenger,Noun,ผู้โดยสาร
passing,"Adjective, Adverb",ผ่าน
pass on,"Adjective, Verb (usu participle)",ส่งต่อ
pass out,"Adjective, Verb (usu participle)",ผ่านออกไป
passport,Noun,หนังสือเดินทาง
pass round,"Adjective, Verb (usu participle)",ผ่านรอบ
pass through,"Adjective, Verb (usu participle)",ผ่าน
past,"Adjective, Noun",อดีต
path,Noun,เส้นทาง
patience,Noun,ความอดทน
patient,"Adjective, Noun",อดทน
pattern,"Noun, Verb (usu participle)",ลวดลาย
pause,"Verb (intransitive), Noun",หยุดชั่วคราว
pay,"Verb (usu participle), Verb (transitive)",จ่าย
pay back,"Verb (usu participle), Verb (transitive)",จ่ายคืน
payment,Noun,การชำระเงิน
pay out,"Verb (usu participle), Verb (transitive)",จ่ายเงิน
pay up,"Verb (usu participle), Verb (transitive)",จ่ายเงิน
peace,"Noun, Verb (intransitive)",ความสงบ
peaceful,Adjective,สงบ
peak,"Noun, Verb (transitive)",จุดสูงสุด
pen,"Noun, Verb (usu participle)",ปากกา
pencil,"Noun, Verb (usu participle)",ดินสอ
penny,"Noun, Adjective",เงิน
pension 1,"Noun, Verb (transitive)",เงินบำนาญ 1
people,"Noun, Verb (transitive)",ประชากร
pepper,"Noun, Verb (transitive)",พริกไทย
per,"Definite Article, Preposition",ต่อ
per cent,"Definite Article, Preposition",เปอร์เซ็นต์
perfect,"Adjective, Noun",สมบูรณ์แบบ
perfectly,Adverb,อย่างสมบูรณ์แบบ
perform,"Verb (usu participle), Verb (transitive)",ดำเนินการ
performance,Noun,ผลงาน
performer,Noun,นักแสดง
perhaps,Adverb,บางที
period,Noun,ระยะเวลา
permanent,"Adjective, Noun",ถาวร
permanently,Adverb,อย่างถาวร
permission,Noun,การอนุญาต
permit,"Verb (usu participle), Verb (transitive)",อนุญาต
person,Noun,บุคคล
personal,"Adjective, Noun",ส่วนตัว
personality,Noun,บุคลิกภาพ
personally,Adverb,ส่วนตัว
persuade,"Verb (transitive), Verb (usu participle)",โน้มน้าว
pet,"Noun, Verb (usu participle)",สัตว์เลี้ยง
petrol,Noun,น้ำมันเบนซิน
phase,"Noun, Verb (transitive)",เฟส
philosophy,Noun,ปรัชญา
phone,"Noun, Verb (usu participle)",โทรศัพท์
photo,Noun,รูปถ่าย
photocopy,"Noun, Verb (usu participle)",ถ่ายเอกสาร
photograph,"Noun, Verb (usu participle)",ภาพถ่าย
photographer,Noun,ช่างภาพ
photography,Noun,การถ่ายภาพ
phrase,"Noun, Verb (transitive)",วลี
physical,"Adjective, Noun",ทางกายภาพ
physically,Adverb,ทางร่างกาย
physics,Noun,ฟิสิกส์
piano,"Noun, Adjective",เปียโน
pick,"Verb (usu participle), Noun",เลือก
pick up,"Verb (usu participle), Noun",หยิบ
picture,"Noun, Verb (transitive)",รูปภาพ
piece,"Noun, Verb (transitive)",ชิ้นส่วน
pig,"Noun, Verb (usu participle)",หมู
pile,"Noun, Verb (usu participle)",กอง
pile up,"Noun, Verb (usu participle)",กองพะเนินเทินทึก
pill,"Noun, Verb (transitive)",ยา
pilot,"Noun, Verb (transitive)",นักบิน
pin,"Noun, Verb (usu participle)",เข็มหมุด
pink,"Noun, Adjective",สีชมพู
pint,Noun,ไพน์
pipe,"Noun, Verb (usu participle)",ท่อ
pitch,"Verb (usu participle), Verb (transitive)",ขว้าง
pity,"Noun, Verb (usu participle)",สงสาร
place,"Noun, Verb (usu participle)",สถานที่
plain,"Adjective, Noun",ธรรมดา
plan,"Noun, Verb (usu participle)",วางแผน
plane,"Noun, Adjective",เครื่องบิน
planet,Noun,ดาวเคราะห์
planning,"Verb (usu participle), Noun",การวางแผน
plant,"Noun, Verb (transitive)",ปลูก
plastic,"Noun, Adjective",พลาสติก
plate,"Noun, Verb (transitive)",จาน
platform,Noun,แพลตฟอร์ม
play,"Verb (usu participle), Verb (transitive)",เล่น
play about,"Verb (usu participle), Verb (transitive)",เล่นเกี่ยวกับ
player,Noun,ผู้เล่น
play with,"Verb (usu participle), Verb (transitive)",เล่นกับ
pleasant,Adjective,เพลิดเพลิน
pleasantly,Adverb,เป็นสุข
please,"Verb (usu participle), Adverb",โปรด
pleased,Adjective,พึงพอใจ
pleasing,"Adjective, Noun",น่ายินดี
pleasure,"Noun, Verb (usu participle)",ความพึงพอใจ
plenty,"Noun, Definite Article",มากมาย
plot,"Noun, Verb (usu participle)",พล็อต
plug,"Noun, Verb (usu participle)",ปลั๊ก
plug in,"Noun, Verb (usu participle)",เสียบปลั๊ก
plus 1,"Preposition, Adjective",บวก 1
p.m.,Abbreviation,บ่าย
pocket,"Noun, Verb (transitive)",กระเป๋า
poem,Noun,บทกวี
poetry,Noun,บทกวี
point,"Noun, Verb (transitive)",จุด
pointed,Adjective,ชี้
point out,"Noun, Verb (transitive)",ชี้ให้เห็น
poison,"Noun, Verb (transitive)",พิษ
poisonous,Adjective,เป็นพิษ
pole,"Noun, Verb (transitive)",เสา
police,"Noun, Verb (transitive)",ตำรวจ
policy,Noun,นโยบาย
polish,"Verb (usu participle), Verb (transitive)",ขัด
polite,Adjective,สุภาพ
politely,Adverb,สุภาพ
political,Adjective,ทางการเมือง
politically,Adverb,ในทางการเมือง
politician,Noun,นักการเมือง
politics,Noun,การเมือง
pollution,Noun,มลพิษ
pool,"Noun, Verb (transitive)",สระน้ำ
poor,Adjective,ยากจน
pop,"Verb (usu participle), Verb (intransitive)",โผล่
popular,Adjective,เป็นที่นิยม
population,Noun,ประชากร
port,"Noun, Verb (usu participle)",ท่าเรือ
pose,"Verb (usu participle), Verb (intransitive)",ก่อให้เกิด
position,"Noun, Verb (transitive)",ตำแหน่ง
positive,"Adjective, Noun",เชิงบวก
possess,"Verb (transitive), Verb (usu participle)",มี
possession,Noun,การครอบครอง
possibility,Noun,ความเป็นไปได้
possible,"Adjective, Noun",เป็นไปได้
possibly,Adverb,อาจจะ
post,"Noun, Verb (transitive)",โพสต์
post office,"Noun, Verb (transitive)",ที่ทำการไปรษณีย์
pot,"Noun, Verb (usu participle)",หม้อ
potato,Noun,มันฝรั่ง
potential,"Adjective, Noun",ศักยภาพ
potentially,Adverb,อาจ
pound,"Verb (usu participle), Verb (transitive)",ปอนด์
pour,"Verb (usu participle), Verb (transitive)",เท
powder,"Noun, Verb (usu participle)",ผง
power,"Noun, Verb (transitive)",พลัง
powerful,"Adjective, Adverb",ทรงพลัง
practical,Adjective,ใช้ได้จริง
practically,Adverb,ในทางปฏิบัติ
practice,"Noun, Verb (usu participle)",ฝึกฝน
practise,"Verb (usu participle), Verb (transitive)",ฝึกฝน
